,,,,,,,,,,,,, 
,,在庫リスト_2
,,パトロス ラボ
,,,,,,,,,再発注品目を強調表示しますか?,,,はい
,,再発注用,在庫 ID,名前,説明,単価,数量在庫あり,在庫の評価額,再発注点,再発注品目の調達期間 (日単位),数量再発注中,取り扱い中止?
,,1,IN0001,品目 1,説明 1,51,25,1275,29,13,50
,,1,IN0002,品目 2,説明 2,93,132,12276,231,4,50
,,,IN0003,品目 3,説明 3,57,151,8607,114,11,150
,,,IN0004,品目 4,説明 4,19,186,3534,158,6,50
,,,IN0005,品目 5,説明 5,75,62,4650,39,12,50
,,1,IN0006,品目 6,説明 6,11,5,55,9,13,150
,,,IN0007,品目 7,説明 7,56,58,3248,109,7,100,はい
,,1,IN0008,品目 8,説明 8,38,101,3838,162,3,100
,,,IN0009,品目 9,説明 9,59,122,7198,82,3,150
,,1,IN0010,品目 10,説明 10,50,175,8750,283,8,150
,,1,IN0011,品目 11,説明 11,59,176,10384,229,1,100
,,1,IN0012,品目 12,説明 12,18,22,396,36,12,50
,,1,IN0013,品目 13,説明 13,26,72,1872,102,9,100
,,1,IN0014,品目 14,説明 14,42,62,2604,83,2,100
,,,IN0015,品目 15,説明 15,32,46,1472,23,15,50
,,1,IN0016,品目 16,説明 16,90,96,8640,180,3,50
,,,IN0017,品目 17,説明 17,97,57,5529,98,12,50,はい
,,1,IN0018,品目 18,説明 18,12,6,72,7,13,50
,,1,IN0019,品目 19,説明 19,82,143,11726,164,12,150
,,,IN0020,品目 20,説明 20,16,124,1984,113,14,50
,,,IN0021,品目 21,説明 21,19,112,2128,75,11,50
,,,IN0022,品目 22,説明 22,24,182,4368,132,15,150
,,,IN0023,品目 23,説明 23,29,106,3074,142,1,150,はい
,,,IN0024,品目 24,説明 24,75,173,12975,127,9,100
,,,IN0025,品目 25,説明 25,14,28,392,21,8,50















































































































































































































































































































































































































































































































































































































































































































































